Stop Name,Station ID,Complex ID,GTFS Stop ID,Division,Line,Precinct,GTFS Latitude,GTFS Longitude,Borough,Daytime Routes,Structure,North Direction Label,South Direction Label,ADA,ADA Direction Notes,ADA NB,ADA SB,Capital Outage NB,Capital Outage SB
103 St,156,156,A18,IND,8th Av - Fulton St,24,40.796092,-73.961454,M,B C,Subway,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
96 St,157,157,A19,IND,8th Av - Fulton St,24,40.791642,-73.964696,M,B C,Subway,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
86 St,158,158,A20,IND,8th Av - Fulton St,24,40.785868,-73.968916,M,B C,Subway,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
81 St-Museum of Natural History,159,159,A21,IND,8th Av - Fulton St,20,40.781433,-73.972143,M,B C,Subway,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
72 St,160,160,A22,IND,8th Av - Fulton St,20,40.775594,-73.97641,M,B C,Subway,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
59 St-Columbus Circle,161,614,A24,IND,8th Av - Fulton St,18,40.768296,-73.981736,M,A B C D,Subway,Uptown & The Bronx,Downtown & Brooklyn,1,,,,,
50 St,162,162,A25,IND,8th Av - Fulton St,18,40.762456,-73.985984,M,C E,Subway,Uptown - Queens,Downtown & Brooklyn,2,Downtown & Brooklyn only,0,1,,
42 St-Port Authority Bus Terminal,163,611,A27,IND,8th Av - Fulton St,14,40.757308,-73.989735,M,A C E,Subway,Uptown - Queens,Downtown & Brooklyn,1,,,,,
34 St-Penn Station,164,164,A28,IND,8th Av - Fulton St,14,40.752287,-73.993391,M,A C E,Subway,Uptown - Queens,Downtown & Brooklyn,1,,,,,
23 St,165,165,A30,IND,8th Av - Fulton St,10,40.745906,-73.998041,M,C E,Subway,Uptown - Queens,Downtown & Brooklyn,0,,,,,
14 St,166,618,A31,IND,8th Av - Fulton St,6,40.740893,-74.00169,M,A C E,Subway,Uptown - Queens,Downtown & Brooklyn,1,,,,,
W 4 St-Wash Sq,167,167,A32,IND,8th Av - Fulton St,6,40.732338,-74.000495,M,A C E,Subway,Uptown - Queens,Downtown & Brooklyn,1,,,,,
W 4 St-Wash Sq,167,167,D20,IND,6th Av - Culver,6,40.732338,-74.000495,M,B D F M,Subway,Uptown - Queens,Downtown & Brooklyn,1,,,,,
Spring St,168,168,A33,IND,8th Av - Fulton St,1,40.726227,-74.003739,M,C E,Subway,Uptown - Queens,Downtown & Brooklyn,0,,,,,
Canal St,169,169,A34,IND,8th Av - Fulton St,1,40.720824,-74.005229,M,A C E,Subway,Uptown - Queens,Downtown & Brooklyn,0,,,,,
